# Temperature(kBT)  Avg_Abs_Magnetization  Susceptibility
1.000000000000000000e+00 9.993224000000000551e-01 1.423345600068569175e-03
1.100000000000000089e+00 9.984360000000001012e-01 3.306145454333586729e-03
1.200000000000000178e+00 9.969824000000000463e-01 6.272021333066124180e-03
1.300000000000000266e+00 9.948208000000000606e-01 1.061332184592118401e-02
1.400000000000000355e+00 9.913656000000000690e-01 1.842074399973664400e-02
1.500000000000000444e+00 9.864976000000000855e-01 2.930465706661343137e-02
1.600000000000000533e+00 9.795863999999999683e-01 4.220571100013328913e-02
1.700000000000000622e+00 9.701520000000000143e-01 6.838390588212536758e-02
1.800000000000000711e+00 9.563167999999999669e-01 1.240632746668738906e-01
1.900000000000000799e+00 9.379040000000000710e-01 2.707533473682245950e-01
2.000000000000000888e+00 9.133143999999999707e-01 3.651580407999454603e-01
2.100000000000000977e+00 8.673608000000000429e-01 9.650747420952783262e-01
2.200000000000001066e+00 7.805904000000000176e-01 4.021136986181730322e+00
2.300000000000001155e+00 4.159695999999999949e-01 5.334228351721740324e+01
2.400000000000001243e+00 1.671215999999999813e-01 1.388316826400000004e+01
2.500000000000001332e+00 1.313167999999999835e-01 9.711200437760000526e+00
2.600000000000001421e+00 9.125599999999998990e-02 4.724083138461535825e+00
2.700000000000001510e+00 8.140560000000000851e-02 3.175497452444441482e+00
2.800000000000001599e+00 6.726959999999999884e-02 2.391871674857141361e+00
2.900000000000001688e+00 6.182480000000000614e-02 1.761565814620688730e+00
3.000000000000001776e+00 5.484400000000000386e-02 1.446837853333332369e+00
