# T  Avg_Energy/N  Energy_Err  Heat_Capacity  HC_Err
1.000000000000000000e+00 -1.997227199999999980e+00 6.665215735443227093e-05 2.225954799199104939e-02 9.138575791792550272e-04
1.100000000000000089e+00 -1.994075199999999937e+00 9.851239759542958338e-05 3.995010576531416585e-02 1.365417938314906088e-03
1.200000000000000178e+00 -1.988425600000000015e+00 1.372052197257815674e-04 6.535544654987750224e-02 2.100154161815234732e-03
1.300000000000000266e+00 -1.980299199999999926e+00 1.810123743836315529e-04 9.697788202603450924e-02 3.275211430307861053e-03
1.400000000000000355e+00 -1.968216800000000211e+00 2.434528678820604747e-04 1.512316470162865245e-01 5.554753455560383635e-03
1.500000000000000444e+00 -1.951374399999999953e+00 2.913496736226076642e-04 1.883292899449003632e-01 6.188770139703739584e-03
1.600000000000000533e+00 -1.928118400000000010e+00 3.623170306789345115e-04 2.554076960187839362e-01 7.515892493702309649e-03
1.700000000000000622e+00 -1.898779200000000111e+00 4.446529699439776993e-04 3.425438127086208873e-01 1.149570449717911801e-02
1.800000000000000711e+00 -1.859892799999999902e+00 5.187153497632395263e-04 4.138038748864309446e-01 1.274646570460886801e-02
1.900000000000000799e+00 -1.810277600000000264e+00 6.254517960002991617e-04 5.427592878758863426e-01 1.767966828451492459e-02
2.000000000000000888e+00 -1.743943200000000138e+00 7.795680771298937406e-04 7.590647830140214714e-01 2.483095793017767172e-02
2.100000000000000977e+00 -1.661119199999999907e+00 9.124256548782480039e-04 9.480664596625907325e-01 2.948730084273893520e-02
2.200000000000001066e+00 -1.544796800000000081e+00 1.224117116488451090e-03 1.549695320854548086e+00 4.704988405390814199e-02
2.300000000000001155e+00 -1.353651200000000054e+00 1.504240396106951714e-03 2.138924419832136437e+00 6.643857268016122031e-02
2.400000000000001243e+00 -1.201534399999999891e+00 1.146686255398572359e-03 1.141832900487493196e+00 3.809105875000168284e-02
2.500000000000001332e+00 -1.106840799999999847e+00 1.049615304614028499e-03 8.840030005785607381e-01 2.809032635737970102e-02
2.600000000000001421e+00 -1.028587200000000035e+00 9.759057731564045688e-04 7.071967475644934664e-01 2.083920940073736433e-02
2.700000000000001510e+00 -9.614295999999999953e-01 9.342603715881349531e-04 5.992139684949259193e-01 1.959788906352339169e-02
2.800000000000001599e+00 -9.078183999999999143e-01 8.963071743102360000e-04 5.132173435285710683e-01 1.729157821559516861e-02
2.900000000000001688e+00 -8.594760000000000177e-01 8.756961984615439917e-04 4.549391883529102509e-01 1.541855203756370071e-02
3.000000000000001776e+00 -8.185640000000000693e-01 8.406294736683932092e-04 3.940034569297778955e-01 1.208052248673403828e-02
