# T Avg_E/N E_err Heat_Capacity C_err
1.000000000000000000e+00 -1.889491199999999926e+00 4.195277375335270862e-04 4.396917269759028080e-01 4.101859925788301636e-02
1.199999999999999956e+00 -1.877801599999999960e+00 2.557204673857765365e-04 1.133934212666160013e-01 4.927959037329617681e-03
1.399999999999999911e+00 -1.849495999999999807e+00 3.838959025569302179e-04 1.879881020245731116e-01 9.270675633555597664e-03
1.599999999999999867e+00 -1.801787199999999922e+00 5.738299366188556998e-04 3.218354055749776399e-01 1.567852607287681735e-02
1.799999999999999822e+00 -1.721116800000000113e+00 8.130122494526142735e-04 5.108498190913283166e-01 2.352032423872335576e-02
1.999999999999999778e+00 -1.607611200000000018e+00 1.121251815855831870e-03 7.840172769039943645e-01 3.588517546540945929e-02
2.199999999999999734e+00 -1.408686399999999894e+00 1.463865313148720020e-03 1.099866129454537100e+00 4.798974108785936110e-02
2.399999999999999467e+00 -1.181948800000000022e+00 1.400303030975795808e-03 8.467877513166675030e-01 3.746083648804145183e-02
2.599999999999999645e+00 -1.022598400000000129e+00 1.405219640284037681e-03 7.330033870059220469e-01 3.344450467463628424e-02
2.799999999999999822e+00 -9.042368000000000627e-01 1.251077330047987166e-03 4.991714372448959880e-01 2.204010537101262074e-02
2.999999999999999556e+00 -8.147999999999999687e-01 1.260182082081791983e-03 4.403582993706668947e-01 1.980955425315737012e-02
3.199999999999999289e+00 -7.402320000000000011e-01 1.139857085778739343e-03 3.165709983843746356e-01 1.475299015336166246e-02
3.399999999999999467e+00 -6.844767999999999963e-01 1.097071821605130962e-03 2.607856247612445055e-01 1.159572797394658322e-02
