# p_SI	Variance	Standard_Error
0.200000	0.000000	0.000000
0.215789	0.000000	0.000000
0.231579	0.000078	0.000074
0.247368	0.014044	0.013324
0.263158	0.402862	0.036692
0.278947	0.387008	0.022216
0.294737	0.324249	0.007951
0.310526	0.310551	0.010145
0.326316	0.305223	0.004390
0.342105	0.300909	0.008223
0.357895	0.289395	0.007766
0.373684	0.280173	0.006971
0.389474	0.285598	0.005159
0.405263	0.274763	0.005870
0.421053	0.284634	0.007060
0.436842	0.280048	0.005665
0.452632	0.285003	0.002775
0.468421	0.289383	0.004661
0.484211	0.286051	0.005110
0.500000	0.275169	0.005068
