# p_SI	Variance	Jacknife_Error
0.200000	0.000000	0.000000
0.215789	0.000000	0.000000
0.231579	0.000000	0.000000
0.247368	0.297264	0.194303
0.263158	0.405899	0.021685
0.278947	0.374899	0.021160
0.294737	0.319614	0.012265
0.310526	0.310849	0.010027
0.326316	0.299949	0.009992
0.342105	0.285791	0.006686
0.357895	0.287195	0.006911
0.373684	0.294280	0.006589
0.389474	0.289243	0.008185
0.405263	0.288834	0.007262
0.421053	0.287448	0.004923
0.436842	0.281528	0.005905
0.452632	0.283724	0.005651
0.468421	0.267384	0.005302
0.484211	0.274191	0.005998
0.500000	0.274381	0.004613
