step,F_phi0_0,F_phi0_05
200,-0.046051,-1093.668251
400,-0.099828,-1093.669957
600,-0.229016,-1093.670505
800,-0.544700,-1093.670780
1000,-1.325437,-1093.670955
1200,-3.267661,-1093.671085
1400,-8.077422,-1093.671192
1600,-19.690870,-1093.671287
1800,-45.917773,-1093.671375
2000,-97.487442,-1093.671460
2200,-178.016601,-1093.671544
2400,-271.258465,-1093.671628
2600,-352.692022,-1093.671713
2800,-413.370245,-1093.671801
3000,-458.572381,-1093.671891
3200,-495.514487,-1093.671985
3400,-528.437107,-1093.672082
3600,-558.891255,-1093.672183
3800,-587.080055,-1093.672289
4000,-613.168593,-1093.672400
4200,-637.546327,-1093.672517
4400,-660.483457,-1093.672639
4600,-682.091810,-1093.672767
4800,-702.500419,-1093.672901
5000,-721.910966,-1093.673043
5200,-740.530367,-1093.673192
5400,-758.541568,-1093.673349
5600,-776.070763,-1093.673515
5800,-793.173730,-1093.673689
6000,-809.900548,-1093.673872
6200,-826.346660,-1093.674066
6400,-842.608984,-1093.674270
6600,-858.742692,-1093.674485
6800,-874.777811,-1093.674712
7000,-890.730534,-1093.674952
7200,-906.586718,-1093.675205
7400,-922.305376,-1093.675472
7600,-937.843804,-1093.675753
7800,-953.116231,-1093.676051
8000,-967.999313,-1093.676365
8200,-982.426339,-1093.676697
8400,-996.445756,-1093.677047
8600,-1010.140227,-1093.677417
8800,-1023.583028,-1093.677809
9000,-1036.830714,-1093.678222
9200,-1049.988634,-1093.678659
9400,-1063.236035,-1093.679121
9600,-1076.221429,-1093.679609
9800,-1088.233411,-1093.680125
10000,-1099.342733,-1093.680671
10200,-1109.862730,-1093.681249
10400,-1119.982550,-1093.681859
10600,-1129.772493,-1093.682506
10800,-1139.242266,-1093.683189
11000,-1148.390862,-1093.683913
11200,-1157.227008,-1093.684678
11400,-1165.770961,-1093.685488
11600,-1174.049135,-1093.686346
11800,-1182.079717,-1093.687254
12000,-1189.864942,-1093.688216
12200,-1197.400197,-1093.689234
12400,-1204.688996,-1093.690313
12600,-1211.748804,-1093.691456
12800,-1218.606424,-1093.692666
13000,-1225.289761,-1093.693949
13200,-1231.821786,-1093.695309
13400,-1238.219345,-1093.696751
13600,-1244.497734,-1093.698279
13800,-1250.678572,-1093.699899
14000,-1256.789186,-1093.701618
14200,-1262.842111,-1093.703441
14400,-1268.816461,-1093.705376
14600,-1274.674749,-1093.707429
14800,-1280.392302,-1093.709608
15000,-1285.966291,-1093.711922
15200,-1291.408382,-1093.714380
15400,-1296.737457,-1093.716990
15600,-1301.975766,-1093.719764
15800,-1307.145386,-1093.722713
16000,-1312.268119,-1093.725848
16200,-1317.368499,-1093.729182
16400,-1322.460955,-1093.732729
16600,-1327.525612,-1093.736505
16800,-1332.520143,-1093.740525
17000,-1337.412536,-1093.744807
17200,-1342.189334,-1093.749370
17400,-1346.849743,-1093.754235
17600,-1351.400452,-1093.759425
17800,-1355.851556,-1093.764965
18000,-1360.214327,-1093.770880
18200,-1364.500732,-1093.777202
18400,-1368.722229,-1093.783962
18600,-1372.887593,-1093.791197
18800,-1377.001645,-1093.798945
19000,-1381.065744,-1093.807251
19200,-1385.079483,-1093.816164
19400,-1389.042599,-1093.825737
19600,-1392.956015,-1093.836031
19800,-1396.821910,-1093.847114
20000,-1400.644428,-1093.859063
20200,-1404.430835,-1093.871966
20400,-1408.189782,-1093.885922
20600,-1411.926358,-1093.901046
20800,-1415.638382,-1093.917468
21000,-1419.318291,-1093.935344
21200,-1422.959442,-1093.954853
21400,-1426.560071,-1093.976209
21600,-1430.121358,-1093.999670
21800,-1433.642991,-1094.025545
22000,-1437.121451,-1094.054218
22200,-1440.553302,-1094.086168
22400,-1443.939637,-1094.122005
22600,-1447.286258,-1094.162525
22800,-1450.599595,-1094.208791
23000,-1453.882227,-1094.262268
23200,-1457.131553,-1094.325044
23400,-1460.342591,-1094.400216
23600,-1463.512079,-1094.492583
23800,-1466.640264,-1094.609946
24000,-1469.729633,-1094.765554
24200,-1472.782197,-1094.982524
24400,-1475.797898,-1095.300323
24600,-1478.775566,-1095.777720
24800,-1481.714930,-1096.474442
25000,-1484.617438,-1097.408133
25200,-1487.485505,-1098.543738
25400,-1490.321016,-1099.838296
25600,-1493.124314,-1101.279875
25800,-1495.894669,-1102.902029
26000,-1498.631726,-1104.793782
26200,-1501.336337,-1107.116627
26400,-1504.010163,-1110.105103
26600,-1506.654786,-1113.982358
26800,-1509.271032,-1118.814494
27000,-1511.858606,-1124.499454
27200,-1514.416021,-1130.897768
27400,-1516.940903,-1137.908781
27600,-1519.430707,-1145.461265
27800,-1521.883595,-1153.542748
28000,-1524.299138,-1162.257436
28200,-1526.678626,-1171.806681
28400,-1529.024992,-1182.404833
28600,-1531.342448,-1194.251114
28800,-1533.635982,-1207.541931
29000,-1535.910811,-1222.383589
29200,-1538.171908,-1238.678242
29400,-1540.423725,-1256.198383
29600,-1542.670183,-1274.709563
29800,-1544.914990,-1293.956208
30000,-1547.162297,-1313.685502
30200,-1549.417624,-1333.733524
30400,-1551.689048,-1354.017532
30600,-1553.988716,-1374.485238
30800,-1556.335009,-1395.101327
31000,-1558.756304,-1415.831796
31200,-1561.299194,-1436.573122
31400,-1564.045478,-1457.114864
31600,-1567.102081,-1477.206587
31800,-1570.375442,-1496.624754
32000,-1573.461026,-1515.181224
32200,-1576.174266,-1532.709169
32400,-1578.565668,-1549.088519
32600,-1580.711501,-1564.283484
32800,-1582.669729,-1578.354219
33000,-1584.483482,-1591.434697
33200,-1586.185821,-1603.646161
33400,-1587.802339,-1614.997123
33600,-1589.352746,-1625.423165
33800,-1590.852079,-1634.900377
34000,-1592.311711,-1643.483080
34200,-1593.740198,-1651.278320
34400,-1595.143955,-1658.407971
34600,-1596.527781,-1664.951192
34800,-1597.895247,-1670.881426
35000,-1599.248985,-1676.137056
35200,-1600.590894,-1680.731903
35400,-1601.922295,-1684.739217
35600,-1603.244054,-1688.244504
35800,-1604.556678,-1691.324950
36000,-1605.860397,-1694.045862
36200,-1607.155236,-1696.463998
36400,-1608.441078,-1698.633044
36600,-1609.717732,-1700.609155
36800,-1610.984985,-1702.456798
37000,-1612.242654,-1704.256712
37200,-1613.490624,-1706.112882
37400,-1614.728873,-1708.118162
37600,-1615.957477,-1710.232483
37800,-1617.176612,-1712.324221
38000,-1618.386537,-1714.354626
38200,-1619.587581,-1716.272862
38400,-1620.780128,-1717.969864
38600,-1621.964605,-1719.408340
38800,-1623.141463,-1720.621456
39000,-1624.311177,-1721.655728
39200,-1625.474234,-1722.550180
39400,-1626.631122,-1723.335114
39600,-1627.782328,-1724.034589
39800,-1628.928322,-1724.668514
40000,-1630.069554,-1725.254016
40200,-1631.206440,-1725.806398
40400,-1632.339353,-1726.339988
40600,-1633.468616,-1726.869154
40800,-1634.594492,-1727.409775
41000,-1635.717179,-1727.981729
41200,-1636.836809,-1728.613401
41400,-1637.953448,-1729.349061
41600,-1639.067098,-1730.251143
41800,-1640.177706,-1731.347839
42000,-1641.285173,-1732.514854
42200,-1642.389364,-1733.568219
42400,-1643.490126,-1734.450795
42600,-1644.587300,-1735.187415
42800,-1645.680745,-1735.813212
43000,-1646.770355,-1736.355336
43200,-1647.856076,-1736.833073
43400,-1648.937926,-1737.260351
43600,-1650.016002,-1737.647649
43800,-1651.090486,-1738.003174
44000,-1652.161641,-1738.333559
44200,-1653.229807,-1738.644285
44400,-1654.295383,-1738.939941
44600,-1655.358819,-1739.224399
44800,-1656.420596,-1739.500950
45000,-1657.481225,-1739.772402
45200,-1658.541234,-1740.041166
45400,-1659.601174,-1740.309331
45600,-1660.661613,-1740.578732
45800,-1661.723146,-1740.851000
46000,-1662.786386,-1741.127625
46200,-1663.851962,-1741.410009
46400,-1664.920508,-1741.699514
46600,-1665.992653,-1741.997539
46800,-1667.069017,-1742.305587
47000,-1668.150217,-1742.625378
47200,-1669.236887,-1742.958989
47400,-1670.329721,-1743.309057
47600,-1671.429522,-1743.679087
47800,-1672.537257,-1744.073915
48000,-1673.654109,-1744.500458
48200,-1674.781517,-1744.968974
48400,-1675.921216,-1745.495323
48600,-1677.075286,-1746.105196
48800,-1678.246247,-1746.840958
49000,-1679.437249,-1747.760309
49200,-1680.652386,-1748.871723
49400,-1681.897218,-1750.031546
49600,-1683.179610,-1751.073910
49800,-1684.511218,-1751.960537
50000,-1685.910309,-1752.718808
