omega,iterations
1.0000,285
1.0168,284
1.0336,282
1.0503,281
1.0671,279
1.0839,276
1.1007,274
1.1175,272
1.1342,269
1.1510,266
1.1678,263
1.1846,260
1.2014,257
1.2181,253
1.2349,250
1.2517,247
1.2685,243
1.2853,239
1.3020,235
1.3188,231
1.3356,227
1.3524,223
1.3692,219
1.3859,215
1.4027,211
1.4195,207
1.4363,202
1.4531,198
1.4698,193
1.4866,189
1.5034,184
1.5202,179
1.5369,175
1.5537,170
1.5705,165
1.5873,160
1.6041,155
1.6208,150
1.6376,144
1.6544,139
1.6712,134
1.6880,128
1.7047,123
1.7215,117
1.7383,111
1.7551,105
1.7719,99
1.7886,93
1.8054,86
1.8222,80
1.8390,72
1.8558,64
1.8725,55
1.8893,46
1.9061,55
1.9229,61
1.9397,78
1.9564,108
1.9732,176
1.9900,488
