r,phi,E_mag
2.2361,0.032082,0.016575
2.2361,0.032081,0.016576
2.2361,0.032080,0.016576
2.2361,0.032082,0.016575
2.2361,0.032081,0.016576
2.2361,0.032080,0.016576
2.2361,0.032080,0.016576
2.2361,0.032082,0.016575
2.2361,0.032080,0.016576
2.2361,0.032080,0.016576
2.2361,0.032082,0.016575
2.2361,0.032081,0.016576
2.2361,0.032083,0.016575
2.2361,0.032081,0.016576
2.2361,0.032083,0.016575
2.2361,0.032081,0.016576
2.2361,0.032083,0.016575
2.2361,0.032082,0.016575
2.2361,0.032083,0.016575
2.2361,0.032083,0.016575
2.2361,0.032082,0.016575
2.2361,0.032080,0.016576
2.2361,0.032081,0.016576
2.2361,0.032083,0.016575
2.4495,0.028119,0.011959
2.4495,0.028118,0.011960
2.4495,0.028119,0.011959
2.4495,0.028119,0.011959
2.4495,0.028119,0.011959
2.4495,0.028120,0.011958
2.4495,0.028119,0.011959
2.4495,0.028119,0.011959
2.4495,0.028119,0.011959
2.4495,0.028120,0.011958
2.4495,0.028120,0.011958
2.4495,0.028120,0.011958
2.4495,0.028119,0.011959
2.4495,0.028121,0.011958
2.4495,0.028119,0.011959
2.4495,0.028119,0.011959
2.4495,0.028121,0.011958
2.4495,0.028119,0.011959
2.4495,0.028120,0.011958
2.4495,0.028118,0.011960
2.4495,0.028119,0.011959
2.4495,0.028120,0.011958
2.4495,0.028118,0.011960
2.4495,0.028121,0.011958
2.8284,0.024212,0.009787
2.8284,0.024214,0.009786
2.8284,0.024214,0.009786
2.8284,0.024215,0.009785
2.8284,0.024212,0.009787
2.8284,0.024212,0.009787
2.8284,0.024214,0.009786
2.8284,0.024214,0.009786
2.8284,0.024215,0.009785
2.8284,0.024214,0.009786
2.8284,0.024214,0.009786
2.8284,0.024215,0.009785
3.0000,0.022318,0.008093
3.0000,0.022317,0.008093
3.0000,0.022315,0.008094
3.0000,0.023702,0.011288
3.0000,0.023702,0.011288
3.0000,0.022315,0.008094
3.0000,0.022317,0.008093
3.0000,0.022319,0.008093
3.0000,0.022319,0.008093
3.0000,0.022319,0.008092
3.0000,0.022319,0.008092
3.0000,0.022317,0.008093
3.0000,0.023702,0.011288
3.0000,0.022319,0.008093
3.0000,0.023705,0.011287
3.0000,0.023705,0.011287
3.0000,0.022319,0.008092
3.0000,0.022316,0.008093
3.0000,0.022318,0.008093
3.0000,0.022318,0.008093
3.0000,0.022317,0.008093
3.0000,0.022317,0.008093
3.0000,0.022318,0.008093
3.0000,0.022315,0.008094
3.0000,0.023705,0.011287
3.0000,0.022317,0.008093
3.0000,0.022318,0.008093
3.0000,0.022316,0.008093
3.0000,0.022318,0.008093
3.0000,0.022316,0.008093
3.1623,0.021687,0.008635
3.1623,0.021684,0.008636
3.1623,0.021684,0.008636
3.1623,0.021685,0.008636
3.1623,0.021688,0.008635
3.1623,0.021688,0.008635
3.1623,0.021685,0.008636
3.1623,0.021685,0.008636
3.1623,0.021685,0.008636
3.1623,0.021688,0.008635
3.1623,0.021688,0.008635
3.1623,0.021684,0.008636
3.1623,0.021687,0.008635
3.1623,0.021687,0.008635
3.1623,0.021688,0.008635
3.1623,0.021688,0.008635
3.1623,0.021685,0.008636
3.1623,0.021685,0.008636
3.1623,0.021687,0.008635
3.1623,0.021684,0.008636
3.1623,0.021684,0.008636
3.1623,0.021684,0.008636
3.1623,0.021687,0.008635
3.1623,0.021687,0.008635
3.3166,0.020195,0.007226
3.3166,0.020197,0.007225
3.3166,0.020198,0.007225
3.3166,0.020194,0.007226
3.3166,0.020195,0.007226
3.3166,0.020197,0.007225
3.3166,0.020196,0.007225
3.3166,0.020193,0.007226
