x,y,Az,Bx,By
0,0,0.000000,0.000000,0.000000
0,1,0.000000,0.000000,0.000000
0,2,0.000000,0.000000,0.000000
0,3,0.000000,0.000000,0.000000
0,4,0.000000,0.000000,0.000000
0,5,0.000000,0.000000,0.000000
0,6,0.000000,0.000000,0.000000
0,7,0.000000,0.000000,0.000000
0,8,0.000000,0.000000,0.000000
0,9,0.000000,0.000000,0.000000
0,10,0.000000,0.000000,0.000000
0,11,0.000000,0.000000,0.000000
0,12,0.000000,0.000000,0.000000
0,13,0.000000,0.000000,0.000000
0,14,0.000000,0.000000,0.000000
0,15,0.000000,0.000000,0.000000
0,16,0.000000,0.000000,0.000000
0,17,0.000000,0.000000,0.000000
0,18,0.000000,0.000000,0.000000
0,19,0.000000,0.000000,0.000000
0,20,0.000000,0.000000,0.000000
0,21,0.000000,0.000000,0.000000
0,22,0.000000,0.000000,0.000000
0,23,0.000000,0.000000,0.000000
0,24,0.000000,0.000000,0.000000
0,25,0.000000,0.000000,0.000000
0,26,0.000000,0.000000,0.000000
0,27,0.000000,0.000000,0.000000
0,28,0.000000,0.000000,0.000000
0,29,0.000000,0.000000,0.000000
0,30,0.000000,0.000000,0.000000
0,31,0.000000,0.000000,0.000000
0,32,0.000000,0.000000,0.000000
0,33,0.000000,0.000000,0.000000
0,34,0.000000,0.000000,0.000000
0,35,0.000000,0.000000,0.000000
0,36,0.000000,0.000000,0.000000
0,37,0.000000,0.000000,0.000000
0,38,0.000000,0.000000,0.000000
0,39,0.000000,0.000000,0.000000
0,40,0.000000,0.000000,0.000000
0,41,0.000000,0.000000,0.000000
0,42,0.000000,0.000000,0.000000
0,43,0.000000,0.000000,0.000000
0,44,0.000000,0.000000,0.000000
0,45,0.000000,0.000000,0.000000
0,46,0.000000,0.000000,0.000000
0,47,0.000000,0.000000,0.000000
0,48,0.000000,0.000000,0.000000
0,49,0.000000,0.000000,0.000000
0,50,0.000000,0.000000,0.000000
0,51,0.000000,0.000000,0.000000
0,52,0.000000,0.000000,0.000000
0,53,0.000000,0.000000,0.000000
0,54,0.000000,0.000000,0.000000
0,55,0.000000,0.000000,0.000000
0,56,0.000000,0.000000,0.000000
0,57,0.000000,0.000000,0.000000
0,58,0.000000,0.000000,0.000000
0,59,0.000000,0.000000,0.000000
0,60,0.000000,0.000000,0.000000
0,61,0.000000,0.000000,0.000000
0,62,0.000000,0.000000,0.000000
0,63,0.000000,0.000000,0.000000
0,64,0.000000,0.000000,0.000000
0,65,0.000000,0.000000,0.000000
0,66,0.000000,0.000000,0.000000
0,67,0.000000,0.000000,0.000000
0,68,0.000000,0.000000,0.000000
0,69,0.000000,0.000000,0.000000
0,70,0.000000,0.000000,0.000000
0,71,0.000000,0.000000,0.000000
0,72,0.000000,0.000000,0.000000
0,73,0.000000,0.000000,0.000000
0,74,0.000000,0.000000,0.000000
0,75,0.000000,0.000000,0.000000
0,76,0.000000,0.000000,0.000000
0,77,0.000000,0.000000,0.000000
0,78,0.000000,0.000000,0.000000
0,79,0.000000,0.000000,0.000000
0,80,0.000000,0.000000,0.000000
0,81,0.000000,0.000000,0.000000
0,82,0.000000,0.000000,0.000000
0,83,0.000000,0.000000,0.000000
0,84,0.000000,0.000000,0.000000
0,85,0.000000,0.000000,0.000000
0,86,0.000000,0.000000,0.000000
0,87,0.000000,0.000000,0.000000
0,88,0.000000,0.000000,0.000000
0,89,0.000000,0.000000,0.000000
0,90,0.000000,0.000000,0.000000
0,91,0.000000,0.000000,0.000000
0,92,0.000000,0.000000,0.000000
0,93,0.000000,0.000000,0.000000
0,94,0.000000,0.000000,0.000000
0,95,0.000000,0.000000,0.000000
0,96,0.000000,0.000000,0.000000
0,97,0.000000,0.000000,0.000000
0,98,0.000000,0.000000,0.000000
0,99,0.000000,0.000000,0.000000
1,0,0.000000,0.000000,-0.000000
1,1,0.000106,0.000106,-0.000106
1,2,0.000212,0.000106,-0.000212
1,3,0.000319,0.000106,-0.000319
1,4,0.000425,0.000106,-0.000425
1,5,0.000531,0.000106,-0.000531
1,6,0.000637,0.000106,-0.000637
1,7,0.000743,0.000106,-0.000743
1,8,0.000850,0.000106,-0.000850
1,9,0.000956,0.000106,-0.000956
1,10,0.001062,0.000106,-0.001062
1,11,0.001168,0.000106,-0.001168
1,12,0.001274,0.000106,-0.001274
1,13,0.001379,0.000106,-0.001380
1,14,0.001485,0.000105,-0.001485
1,15,0.001590,0.000105,-0.001591
1,16,0.001695,0.000105,-0.001696
1,17,0.001800,0.000104,-0.001800
1,18,0.001904,0.000104,-0.001904
1,19,0.002008,0.000103,-0.002008
1,20,0.002111,0.000103,-0.002111
1,21,0.002213,0.000102,-0.002213
1,22,0.002314,0.000101,-0.002315
1,23,0.002415,0.000100,-0.002415
1,24,0.002514,0.000099,-0.002515
1,25,0.002612,0.000097,-0.002613
1,26,0.002708,0.000096,-0.002709
1,27,0.002803,0.000094,-0.002804
1,28,0.002896,0.000092,-0.002897
1,29,0.002987,0.000090,-0.002988
